date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-07-03,Perak,1216069,475822,1102105,1514,112450,0,0,51681,288427,354340,24588
2021-07-03,Perlis,135628,54924,120988,171,14469,0,0,7058,27551,44094,3656
2021-07-03,Pulau Pinang,1068550,345908,1027042,787,40721,0,0,44111,201953,246836,21289
2021-07-03,Sabah,903972,270292,827000,293,76679,0,0,34447,126951,211215,12693
2021-07-03,Sarawak,1670636,538500,1371489,481,298666,0,0,89844,285389,400368,22404
2021-07-03,Selangor,4128966,1151229,4009711,2421,116834,0,0,262450,553349,886136,71135
2021-07-03,Terengganu,509899,163558,448640,300,60959,0,0,27416,79860,130346,10606
2021-07-03,W.P. Kuala Lumpur,1556117,442181,1516354,1147,38616,0,0,82202,234918,322681,27930
2021-07-03,W.P. Labuan,58304,17107,52832,20,5452,0,0,3478,6011,13959,1173
2021-07-03,W.P. Putrajaya,83059,21368,81465,30,1564,0,0,8304,4759,18999,1477
2021-07-04,Johor,2165430,690596,1993118,1184,171128,0,0,115602,388415,501093,43206
2021-07-04,Kedah,996617,360238,905283,910,90424,0,0,46265,191752,279355,21899
2021-07-04,Kelantan,659011,234736,559971,436,98604,0,0,29857,125661,182022,13878
2021-07-04,Melaka,545567,190529,517768,480,27319,0,0,30517,102800,146870,14724
2021-07-04,Negeri Sembilan,676826,243796,635166,630,41030,0,0,38498,131074,190516,15146
2021-07-04,Pahang,800081,275896,664051,637,135393,0,0,40473,150461,207379,17574
2021-07-04,Perak,1225471,478797,1110677,1506,113288,0,0,52745,289905,356553,24798
2021-07-04,Perlis,136339,55213,121671,170,14498,0,0,7165,27680,44326,3691
2021-07-04,Pulau Pinang,1073484,347362,1031896,787,40801,0,0,44753,202690,247911,21420
2021-07-04,Sabah,908174,271324,831043,290,76841,0,0,34755,127381,211995,12782
2021-07-04,Sarawak,1675196,539403,1376430,480,298286,0,0,90583,285698,401045,22516
2021-07-04,Selangor,4157756,1157690,4038256,2396,117104,0,0,267236,555409,891240,71914
2021-07-04,Terengganu,514587,164948,452553,298,61736,0,0,27969,80529,131429,10726
2021-07-04,W.P. Kuala Lumpur,1568412,444310,1528508,1135,38769,0,0,83549,235578,324328,28200
2021-07-04,W.P. Labuan,58397,17113,52943,20,5434,0,0,3486,6011,13968,1171
2021-07-04,W.P. Putrajaya,83319,21406,81732,30,1557,0,0,8376,4765,19033,1481
2021-07-05,Johor,2177473,693445,2001972,1178,174323,0,0,117219,389696,503230,43438
2021-07-05,Kedah,1002876,362490,911020,907,90949,0,0,46837,192893,281071,22088
2021-07-05,Kelantan,662996,235945,563353,442,99201,0,0,30239,126239,182937,13967
2021-07-05,Melaka,548749,191507,520785,477,27487,0,0,30946,103222,147638,14834
2021-07-05,Negeri Sembilan,682243,245531,640484,636,41123,0,0,39111,131729,191904,15335
2021-07-05,Pahang,804606,276967,668277,634,135695,0,0,41100,150962,208230,17657
2021-07-05,Perak,1235218,481985,1118647,1517,115054,0,0,53627,291661,358855,25014
2021-07-05,Perlis,137304,55604,122473,171,14660,0,0,7247,27849,44649,3725
2021-07-05,Pulau Pinang,1079063,349025,1037325,789,40949,0,0,45305,203544,249133,21581
2021-07-05,Sabah,912840,272487,835131,294,77415,0,0,35047,127897,212914,12839
2021-07-05,Sarawak,1680495,540558,1381999,484,298012,0,0,91308,286162,401951,22630
2021-07-05,Selangor,4186075,1164144,4065990,2438,117647,0,0,270408,557560,896344,72721
2021-07-05,Terengganu,518878,166161,456270,301,62307,0,0,28467,81052,132361,10829
2021-07-05,W.P. Kuala Lumpur,1580620,446442,1540250,1150,39220,0,0,84435,236309,325897,28480
2021-07-05,W.P. Labuan,58495,17120,53059,20,5416,0,0,3502,6019,13970,1174
2021-07-05,W.P. Putrajaya,83647,21486,82061,30,1556,0,0,8434,4777,19104,1496
2021-07-06,Johor,2188851,696048,2010855,1196,176800,0,0,118601,390862,505167,43689
2021-07-06,Kedah,1009246,364707,916832,917,91497,0,0,47384,194021,282768,22261
2021-07-06,Kelantan,667029,237152,566779,450,99800,0,0,30496,126833,183858,14083
2021-07-06,Melaka,552182,192472,523972,482,27728,0,0,31296,103621,148375,14947
2021-07-06,Negeri Sembilan,688940,247642,647000,644,41296,0,0,39730,132602,193562,15563
2021-07-06,Pahang,809568,278061,672754,636,136178,0,0,41611,151447,209079,17762
2021-07-06,Perak,1244628,484877,1126305,1532,116791,0,0,54442,293197,361026,25217
2021-07-06,Perlis,138178,55923,123273,174,14731,0,0,7322,27976,44910,3751
2021-07-06,Pulau Pinang,1083694,350505,1041754,789,41151,0,0,45718,204239,250307,21698
2021-07-06,Sabah,917836,273661,839450,299,78087,0,0,35324,128349,213849,12927
2021-07-06,Sarawak,1685798,541575,1387642,486,297670,0,0,92027,286554,402710,22790
2021-07-06,Selangor,4210573,1169966,4089786,2479,118308,0,0,272762,559522,900964,73402
2021-07-06,Terengganu,522710,167235,459446,308,62956,0,0,28937,81548,133203,10923
2021-07-06,W.P. Kuala Lumpur,1591098,448440,1550426,1178,39494,0,0,85178,236950,327378,28792
2021-07-06,W.P. Labuan,58594,17136,53172,20,5402,0,0,3518,6024,13982,1178
2021-07-06,W.P. Putrajaya,84048,21592,82461,31,1556,0,0,8501,4798,19192,1509
2021-07-07,Johor,2201431,699144,2020556,1202,179673,0,0,120128,392228,507465,44023
2021-07-07,Kedah,1015736,367038,922882,929,91925,0,0,47836,195215,284501,22536
2021-07-07,Kelantan,670996,238352,570041,453,100502,0,0,30744,127430,184763,14169
2021-07-07,Melaka,554955,193343,526536,485,27934,0,0,31580,103991,149040,15080
2021-07-07,Negeri Sembilan,695305,249421,653150,654,41501,0,0,40295,133343,194958,15768
2021-07-07,Pahang,813560,279093,676686,640,136234,0,0,42095,151866,209926,17855
2021-07-07,Perak,1255498,488344,1135561,1539,118398,0,0,55311,295002,363705,25453
2021-07-07,Perlis,138997,56232,123994,176,14827,0,0,7392,28114,45175,3775
2021-07-07,Pulau Pinang,1088142,351768,1045994,800,41348,0,0,46114,204848,251251,21803
2021-07-07,Sabah,922777,274756,843715,298,78764,0,0,35590,128817,214691,12975
2021-07-07,Sarawak,1690702,542543,1392978,491,297233,0,0,92661,286902,403444,22924
