date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-03-01,Pulau Pinang,449,1,450,0,0,789,1,790,0,0,449,1,0,0,0,0,0,0
2021-03-01,Sabah,127,0,127,0,0,1168,0,1168,0,0,127,0,0,0,0,0,0,0
2021-03-01,Sarawak,1734,0,1734,0,0,9896,4,9900,0,0,1734,0,0,0,0,0,0,0
2021-03-01,Selangor,609,1,610,0,0,1082,1,1083,0,0,609,1,0,0,0,0,0,0
2021-03-01,Terengganu,1,0,1,0,0,485,0,485,0,0,1,0,0,0,0,0,0,0
2021-03-01,W.P. Kuala Lumpur,2352,0,2352,0,0,3637,0,3637,0,0,2352,0,0,0,0,0,0,0
2021-03-01,W.P. Labuan,450,0,450,0,0,951,0,951,0,0,450,0,0,0,0,0,0,0
2021-03-01,W.P. Putrajaya,441,0,441,0,0,540,0,540,0,0,441,0,0,0,0,0,0,0
2021-03-02,Johor,1487,0,1487,0,0,4541,0,4541,0,0,1487,0,0,0,0,0,0,0
2021-03-02,Kedah,1191,1,1192,0,0,3089,1,3090,0,0,1191,1,0,0,0,0,0,0
2021-03-02,Kelantan,2868,0,2868,0,0,4828,0,4828,0,0,2868,0,0,0,0,0,0,0
2021-03-02,Melaka,1085,0,1085,0,0,1517,0,1517,0,0,1085,0,0,0,0,0,0,0
2021-03-02,Negeri Sembilan,1327,0,1327,0,0,1913,1,1914,0,0,1327,0,0,0,0,0,0,0
2021-03-02,Pahang,2108,0,2108,0,0,6078,1,6079,0,0,2108,0,0,0,0,0,0,0
2021-03-02,Perak,2547,0,2547,0,0,5690,1,5691,0,0,2547,0,0,0,0,0,0,0
2021-03-02,Perlis,537,0,537,0,0,1061,0,1061,0,0,537,0,0,0,0,0,0,0
2021-03-02,Pulau Pinang,1043,0,1043,0,0,1832,1,1833,0,0,1043,0,0,0,0,0,0,0
2021-03-02,Sabah,369,1,370,0,0,1537,1,1538,0,0,369,1,0,0,0,0,0,0
2021-03-02,Sarawak,631,1,632,0,0,10527,5,10532,0,0,631,1,0,0,0,0,0,0
2021-03-02,Selangor,1206,0,1206,0,0,2288,1,2289,0,0,1206,0,0,0,0,0,0,0
2021-03-02,Terengganu,2051,0,2051,0,0,2536,0,2536,0,0,2051,0,0,0,0,0,0,0
2021-03-02,W.P. Kuala Lumpur,2341,0,2341,0,0,5978,0,5978,0,0,2341,0,0,0,0,0,0,0
2021-03-02,W.P. Labuan,390,0,390,0,0,1341,0,1341,0,0,390,0,0,0,0,0,0,0
2021-03-02,W.P. Putrajaya,484,0,484,0,0,1024,0,1024,0,0,484,0,0,0,0,0,0,0
2021-03-03,Johor,2068,1,2069,0,0,6609,1,6610,0,0,2068,1,0,0,0,0,0,0
2021-03-03,Kedah,1413,0,1413,0,0,4502,1,4503,0,0,1413,0,0,0,0,0,0,0
2021-03-03,Kelantan,3399,0,3399,0,0,8227,0,8227,0,0,3399,0,0,0,0,0,0,0
2021-03-03,Melaka,1099,0,1099,0,0,2616,0,2616,0,0,1099,0,0,0,0,0,0,0
2021-03-03,Negeri Sembilan,1215,0,1215,0,0,3128,1,3129,0,0,1215,0,0,0,0,0,0,0
2021-03-03,Pahang,1316,0,1316,0,0,7394,1,7395,0,0,1316,0,0,0,0,0,0,0
2021-03-03,Perak,1988,0,1988,0,0,7678,1,7679,0,0,1988,0,0,0,0,0,0,0
2021-03-03,Perlis,541,0,541,0,0,1602,0,1602,0,0,541,0,0,0,0,0,0,0
2021-03-03,Pulau Pinang,1105,0,1105,0,0,2937,1,2938,0,0,1105,0,0,0,0,0,0,0
2021-03-03,Sabah,299,1,300,0,0,1836,2,1838,0,0,299,1,0,0,0,0,0,0
2021-03-03,Sarawak,492,0,492,0,0,11019,5,11024,0,0,492,0,0,0,0,0,0,0
2021-03-03,Selangor,2122,0,2122,0,0,4410,1,4411,0,0,2122,0,0,0,0,0,0,0
2021-03-03,Terengganu,2273,1,2274,0,0,4809,1,4810,0,0,2273,1,0,0,0,0,0,0
2021-03-03,W.P. Kuala Lumpur,2580,0,2580,0,0,8558,0,8558,0,0,2580,0,0,0,0,0,0,0
2021-03-03,W.P. Labuan,295,2,297,0,0,1636,2,1638,0,0,295,2,0,0,0,0,0,0
2021-03-03,W.P. Putrajaya,483,0,483,0,0,1507,0,1507,0,0,483,0,0,0,0,0,0,0
2021-03-04,Johor,1965,3,1968,0,0,8574,4,8578,0,0,1965,3,0,0,0,0,0,0
2021-03-04,Kedah,724,0,724,0,0,5226,1,5227,0,0,724,0,0,0,0,0,0,0
2021-03-04,Kelantan,3408,0,3408,0,0,11635,0,11635,0,0,3408,0,0,0,0,0,0,0
2021-03-04,Melaka,988,0,988,0,0,3604,0,3604,0,0,988,0,0,0,0,0,0,0
2021-03-04,Negeri Sembilan,1231,0,1231,0,0,4359,1,4360,0,0,1231,0,0,0,0,0,0,0
2021-03-04,Pahang,1130,1,1131,0,0,8524,2,8526,0,0,1130,1,0,0,0,0,0,0
2021-03-04,Perak,1028,0,1028,0,0,8706,1,8707,0,0,1028,0,0,0,0,0,0,0
2021-03-04,Perlis,298,0,298,0,0,1900,0,1900,0,0,298,0,0,0,0,0,0,0
2021-03-04,Pulau Pinang,1124,0,1124,0,0,4061,1,4062,0,0,1124,0,0,0,0,0,0,0
2021-03-04,Sabah,1743,3,1746,0,0,3579,5,3584,0,0,1743,3,0,0,0,0,0,0
2021-03-04,Sarawak,450,3,453,0,0,11469,8,11477,0,0,450,3,0,0,0,0,0,0
2021-03-04,Selangor,2262,1,2263,0,0,6672,2,6674,0,0,2262,1,0,0,0,0,0,0
2021-03-04,Terengganu,4,0,4,0,0,4813,1,4814,0,0,4,0,0,0,0,0,0,0
2021-03-04,W.P. Kuala Lumpur,2434,2,2436,0,0,10992,2,10994,0,0,2434,2,0,0,0,0,0,0
2021-03-04,W.P. Labuan,209,0,209,0,0,1845,2,1847,0,0,209,0,0,0,0,0,0,0
2021-03-04,W.P. Putrajaya,548,0,548,0,0,2055,0,2055,0,0,548,0,0,0,0,0,0,0
2021-03-05,Johor,332,0,332,0,0,8906,4,8910,0,0,332,0,0,0,0,0,0,0
2021-03-05,Kedah,137,2,139,0,0,5363,3,5366,0,0,137,2,0,0,0,0,0,0
2021-03-05,Kelantan,741,0,741,0,0,12376,0,12376,0,0,741,0,0,0,0,0,0,0
2021-03-05,Melaka,573,0,573,0,0,4177,0,4177,0,0,573,0,0,0,0,0,0,0
2021-03-05,Negeri Sembilan,535,0,535,0,0,4894,1,4895,0,0,535,0,0,0,0,0,0,0
2021-03-05,Pahang,2058,0,2058,0,0,10582,2,10584,0,0,2058,0,0,0,0,0,0,0
2021-03-05,Perak,1018,0,1018,0,0,9724,1,9725,0,0,1018,0,0,0,0,0,0,0
2021-03-05,Perlis,330,0,330,0,0,2230,0,2230,0,0,330,0,0,0,0,0,0,0
2021-03-05,Pulau Pinang,1029,0,1029,0,0,5090,1,5091,0,0,1029,0,0,0,0,0,0,0
2021-03-05,Sabah,3071,0,3071,0,0,6650,5,6655,0,0,3071,0,0,0,0,0,0,0
2021-03-05,Sarawak,1323,2,1325,0,0,12792,10,12802,0,0,1323,2,0,0,0,0,0,0
2021-03-05,Selangor,2467,0,2467,0,0,9139,2,9141,0,0,2467,0,0,0,0,0,0,0
2021-03-05,Terengganu,62,0,62,0,0,4875,1,4876,0,0,62,0,0,0,0,0,0,0
2021-03-05,W.P. Kuala Lumpur,252,0,252,0,0,11244,2,11246,0,0,252,0,0,0,0,0,0,0
2021-03-05,W.P. Labuan,164,0,164,0,0,2009,2,2011,0,0,164,0,0,0,0,0,0,0
2021-03-05,W.P. Putrajaya,236,0,236,0,0,2291,0,2291,0,0,236,0,0,0,0,0,0,0
2021-03-06,Johor,718,0,718,0,0,9624,4,9628,0,0,718,0,0,0,0,0,0,0
2021-03-06,Kedah,108,0,108,0,0,5471,3,5474,0,0,108,0,0,0,0,0,0,0
2021-03-06,Kelantan,0,0,0,0,0,12376,0,12376,0,0,0,0,0,0,0,0,0,0
2021-03-06,Melaka,0,0,0,0,0,4177,0,4177,0,0,0,0,0,0,0,0,0,0
2021-03-06,Negeri Sembilan,0,0,0,0,0,4894,1,4895,0,0,0,0,0,0,0,0,0,0
2021-03-06,Pahang,3242,0,3242,0,0,13824,2,13826,0,0,3242,0,0,0,0,0,0,0
2021-03-06,Perak,799,0,799,0,0,10523,1,10524,0,0,799,0,0,0,0,0,0,0
2021-03-06,Perlis,0,0,0,0,0,2230,0,2230,0,0,0,0,0,0,0,0,0,0
2021-03-06,Pulau Pinang,120,0,120,0,0,5210,1,5211,0,0,120,0,0,0,0,0,0,0
2021-03-06,Sabah,3928,0,3928,0,0,10578,5,10583,0,0,3928,0,0,0,0,0,0,0
2021-03-06,Sarawak,3589,1,3590,0,0,16381,11,16392,0,0,3589,1,0,0,0,0,0,0
2021-03-06,Selangor,3084,0,3084,0,0,12223,2,12225,0,0,3084,0,0,0,0,0,0,0
2021-03-06,Terengganu,106,0,106,0,0,4981,1,4982,0,0,106,0,0,0,0,0,0,0
2021-03-06,W.P. Kuala Lumpur,0,0,0,0,0,11244,2,11246,0,0,0,0,0,0,0,0,0,0
2021-03-06,W.P. Labuan,83,0,83,0,0,2092,2,2094,0,0,83,0,0,0,0,0,0,0
